Country,Year,Month,Sector,Value
Brazil,2019.0,1.0,Domestic Aviation,0.024
Brazil,2019.0,1.0,Ground Transport,0.202
Brazil,2019.0,1.0,Industry,0.24
Brazil,2019.0,1.0,International Aviation,0.018
Brazil,2019.0,1.0,Power,0.108
Brazil,2019.0,1.0,Residential,0.098
China,2019.0,1.0,Domestic Aviation,0.163
China,2019.0,1.0,Ground Transport,2.522
China,2019.0,1.0,Industry,10.417
China,2019.0,1.0,International Aviation,0.077
China,2019.0,1.0,Power,14.823
China,2019.0,1.0,Residential,4.349
France,2019.0,1.0,Domestic Aviation,0.004
France,2019.0,1.0,Ground Transport,0.211
France,2019.0,1.0,Industry,0.059
France,2019.0,1.0,International Aviation,0.044
France,2019.0,1.0,Power,0.051
France,2019.0,1.0,Residential,0.329
Germany,2019.0,1.0,Domestic Aviation,0.004
Germany,2019.0,1.0,Ground Transport,0.199
Germany,2019.0,1.0,Industry,0.114
Germany,2019.0,1.0,International Aviation,0.053
Germany,2019.0,1.0,Power,0.315
Germany,2019.0,1.0,Residential,0.553
India,2019.0,1.0,Domestic Aviation,0.02
India,2019.0,1.0,Ground Transport,0.816
India,2019.0,1.0,Industry,2.065
India,2019.0,1.0,International Aviation,0.033
India,2019.0,1.0,Power,3.349
India,2019.0,1.0,Residential,1.674
Italy,2019.0,1.0,Domestic Aviation,0.004
Italy,2019.0,1.0,Ground Transport,0.199
Italy,2019.0,1.0,Industry,0.072
Italy,2019.0,1.0,International Aviation,0.029
Italy,2019.0,1.0,Power,0.168
Italy,2019.0,1.0,Residential,0.388
Japan,2019.0,1.0,Domestic Aviation,0.025
Japan,2019.0,1.0,Ground Transport,0.493
Japan,2019.0,1.0,Industry,0.513
Japan,2019.0,1.0,International Aviation,0.048
Japan,2019.0,1.0,Power,1.282
Japan,2019.0,1.0,Residential,0.597
ROW,2019.0,1.0,Domestic Aviation,0.173
ROW,2019.0,1.0,Ground Transport,4.512
ROW,2019.0,1.0,Industry,8.39
ROW,2019.0,1.0,International Aviation,0.708
ROW,2019.0,1.0,Power,8.571
ROW,2019.0,1.0,Residential,5.546
Russia,2019.0,1.0,Domestic Aviation,0.021
Russia,2019.0,1.0,Ground Transport,0.56
Russia,2019.0,1.0,Industry,0.572
Russia,2019.0,1.0,International Aviation,0.026
Russia,2019.0,1.0,Power,2.847
Russia,2019.0,1.0,Residential,0.901
Spain,2019.0,1.0,Domestic Aviation,0.013
Spain,2019.0,1.0,Ground Transport,0.186
Spain,2019.0,1.0,Industry,0.129
Spain,2019.0,1.0,International Aviation,0.05
Spain,2019.0,1.0,Power,0.132
Spain,2019.0,1.0,Residential,0.164
United Kingdom,2019.0,1.0,Domestic Aviation,0.004
United Kingdom,2019.0,1.0,Ground Transport,0.24
United Kingdom,2019.0,1.0,Industry,0.091
United Kingdom,2019.0,1.0,International Aviation,0.078
United Kingdom,2019.0,1.0,Power,0.187
United Kingdom,2019.0,1.0,Residential,0.301
United States,2019.0,1.0,Domestic Aviation,0.377
United States,2019.0,1.0,Ground Transport,3.417
United States,2019.0,1.0,Industry,2.756
United States,2019.0,1.0,International Aviation,0.192
United States,2019.0,1.0,Power,3.971
United States,2019.0,1.0,Residential,2.639
WORLD,2019.0,1.0,Domestic Aviation,0.835
WORLD,2019.0,1.0,Ground Transport,14.157
WORLD,2019.0,1.0,Industry,25.839
WORLD,2019.0,1.0,International Aviation,1.485
WORLD,2019.0,1.0,Power,36.819
WORLD,2019.0,1.0,Residential,18.383
Brazil,2019.0,2.0,Domestic Aviation,0.033
Brazil,2019.0,2.0,Ground Transport,0.341
Brazil,2019.0,2.0,Industry,0.284
Brazil,2019.0,2.0,International Aviation,0.02
Brazil,2019.0,2.0,Power,0.127
Brazil,2019.0,2.0,Residential,0.098
China,2019.0,2.0,Domestic Aviation,0.166
China,2019.0,2.0,Ground Transport,2.54
China,2019.0,2.0,Industry,10.249
China,2019.0,2.0,International Aviation,0.078
China,2019.0,2.0,Power,14.584
China,2019.0,2.0,Residential,4.181
France,2019.0,2.0,Domestic Aviation,0.005
France,2019.0,2.0,Ground Transport,0.247
France,2019.0,2.0,Industry,0.122
France,2019.0,2.0,International Aviation,0.046
France,2019.0,2.0,Power,0.106
France,2019.0,2.0,Residential,0.359
Germany,2019.0,2.0,Domestic Aviation,0.005
Germany,2019.0,2.0,Ground Transport,0.356
Germany,2019.0,2.0,Industry,0.204
Germany,2019.0,2.0,International Aviation,0.067
Germany,2019.0,2.0,Power,0.561
Germany,2019.0,2.0,Residential,0.693
India,2019.0,2.0,Domestic Aviation,0.021
India,2019.0,2.0,Ground Transport,0.834
India,2019.0,2.0,Industry,2.09
India,2019.0,2.0,International Aviation,0.035
India,2019.0,2.0,Power,3.39
India,2019.0,2.0,Residential,1.523
Italy,2019.0,2.0,Domestic Aviation,0.005
Italy,2019.0,2.0,Ground Transport,0.183
Italy,2019.0,2.0,Industry,0.102
Italy,2019.0,2.0,International Aviation,0.036
Italy,2019.0,2.0,Power,0.238
Italy,2019.0,2.0,Residential,0.391
Japan,2019.0,2.0,Domestic Aviation,0.026
Japan,2019.0,2.0,Ground Transport,0.475
Japan,2019.0,2.0,Industry,0.503
Japan,2019.0,2.0,International Aviation,0.051
Japan,2019.0,2.0,Power,1.259
Japan,2019.0,2.0,Residential,0.635
ROW,2019.0,2.0,Domestic Aviation,0.187
ROW,2019.0,2.0,Ground Transport,4.865
ROW,2019.0,2.0,Industry,8.984
ROW,2019.0,2.0,International Aviation,0.758
ROW,2019.0,2.0,Power,9.325
ROW,2019.0,2.0,Residential,5.382
Russia,2019.0,2.0,Domestic Aviation,0.035
Russia,2019.0,2.0,Ground Transport,0.489
Russia,2019.0,2.0,Industry,0.597
Russia,2019.0,2.0,International Aviation,0.032
Russia,2019.0,2.0,Power,2.97
Russia,2019.0,2.0,Residential,0.851
Spain,2019.0,2.0,Domestic Aviation,0.016
Spain,2019.0,2.0,Ground Transport,0.144
Spain,2019.0,2.0,Industry,0.15
Spain,2019.0,2.0,International Aviation,0.06
Spain,2019.0,2.0,Power,0.154
Spain,2019.0,2.0,Residential,0.169
United Kingdom,2019.0,2.0,Domestic Aviation,0.006
United Kingdom,2019.0,2.0,Ground Transport,0.233
United Kingdom,2019.0,2.0,Industry,0.178
United Kingdom,2019.0,2.0,International Aviation,0.086
United Kingdom,2019.0,2.0,Power,0.366
United Kingdom,2019.0,2.0,Residential,0.38
United States,2019.0,2.0,Domestic Aviation,0.465
United States,2019.0,2.0,Ground Transport,4.307
United States,2019.0,2.0,Industry,2.996
United States,2019.0,2.0,International Aviation,0.206
United States,2019.0,2.0,Power,4.628
United States,2019.0,2.0,Residential,3.174
WORLD,2019.0,2.0,Domestic Aviation,0.975
WORLD,2019.0,2.0,Ground Transport,15.689
WORLD,2019.0,2.0,Industry,27.04
WORLD,2019.0,2.0,International Aviation,1.624
WORLD,2019.0,2.0,Power,39.098
WORLD,2019.0,2.0,Residential,18.795
Brazil,2019.0,3.0,Domestic Aviation,0.033
Brazil,2019.0,3.0,Ground Transport,0.419
Brazil,2019.0,3.0,Industry,0.273
Brazil,2019.0,3.0,International Aviation,0.021
Brazil,2019.0,3.0,Power,0.122
Brazil,2019.0,3.0,Residential,0.098
China,2019.0,3.0,Domestic Aviation,0.163
China,2019.0,3.0,Ground Transport,2.53
China,2019.0,3.0,Industry,9.936
China,2019.0,3.0,International Aviation,0.079
China,2019.0,3.0,Power,14.139
China,2019.0,3.0,Residential,3.872
France,2019.0,3.0,Domestic Aviation,0.005
France,2019.0,3.0,Ground Transport,0.302
France,2019.0,3.0,Industry,0.14
France,2019.0,3.0,International Aviation,0.051
France,2019.0,3.0,Power,0.122
France,2019.0,3.0,Residential,0.411
Germany,2019.0,3.0,Domestic Aviation,0.005
Germany,2019.0,3.0,Ground Transport,0.377
Germany,2019.0,3.0,Industry,0.357
Germany,2019.0,3.0,International Aviation,0.07
Germany,2019.0,3.0,Power,0.983
Germany,2019.0,3.0,Residential,0.78
India,2019.0,3.0,Domestic Aviation,0.02
India,2019.0,3.0,Ground Transport,0.842
India,2019.0,3.0,Industry,2.114
India,2019.0,3.0,International Aviation,0.035
India,2019.0,3.0,Power,3.428
India,2019.0,3.0,Residential,1.591
Italy,2019.0,3.0,Domestic Aviation,0.005
Italy,2019.0,3.0,Ground Transport,0.237
Italy,2019.0,3.0,Industry,0.109
Italy,2019.0,3.0,International Aviation,0.033
Italy,2019.0,3.0,Power,0.255
Italy,2019.0,3.0,Residential,0.455
Japan,2019.0,3.0,Domestic Aviation,0.026
Japan,2019.0,3.0,Ground Transport,0.494
Japan,2019.0,3.0,Industry,0.525
Japan,2019.0,3.0,International Aviation,0.05
Japan,2019.0,3.0,Power,1.314
Japan,2019.0,3.0,Residential,0.642
ROW,2019.0,3.0,Domestic Aviation,0.192
ROW,2019.0,3.0,Ground Transport,5.762
ROW,2019.0,3.0,Industry,9.255
ROW,2019.0,3.0,International Aviation,0.779
ROW,2019.0,3.0,Power,9.692
ROW,2019.0,3.0,Residential,5.257
Russia,2019.0,3.0,Domestic Aviation,0.038
Russia,2019.0,3.0,Ground Transport,0.512
Russia,2019.0,3.0,Industry,0.617
Russia,2019.0,3.0,International Aviation,0.033
Russia,2019.0,3.0,Power,3.07
Russia,2019.0,3.0,Residential,0.84
Spain,2019.0,3.0,Domestic Aviation,0.015
Spain,2019.0,3.0,Ground Transport,0.25
Spain,2019.0,3.0,Industry,0.185
Spain,2019.0,3.0,International Aviation,0.058
Spain,2019.0,3.0,Power,0.189
