Disaster Type,Country,Year,Month,Total Deaths
Storm,China,2019,8,72.0
Flood,Brazil,2019,3,12.0
Flood,Brazil,2019,4,10.0
Flood,Brazil,2019,7,12.0
Flood,Spain,2019,1,4.0
Flood,Brazil,2019,1,4.0
Flood,Spain,2019,7,1.0
Storm,Spain,2019,4,0.0
Flood,Brazil,2019,6,7.0
Wildfire,Brazil,2019,1,0.0
Storm,China,2019,7,6.0
Earthquake,China,2019,2,2.0
Earthquake,China,2019,6,13.0
Earthquake,China,2019,9,1.0
Earthquake,China,2019,9,1.0
Flood,China,2019,8,13.0
Flood,China,2019,7,0.0
Landslide,China,2019,7,51.0
Storm,China,2019,9,0.0
Storm,China,2019,10,3.0
Wildfire,China,2019,4,30.0
Landslide,China,2019,8,38.0
Flood,China,2019,4,11.0
Flood,China,2019,6,300.0
Flood,China,2019,7,17.0
Storm,Germany,2019,1,1.0
Extreme temperature,Germany,2019,6,4.0
Extreme temperature,Germany,2019,7,0.0
Storm,India,2019,6,50.0
Flood,Spain,2019,10,5.0
Flood,India,2019,7,1900.0
Flood,India,2019,10,12.0
Earthquake,Japan,2019,6,0.0
Flood,Japan,2019,8,1.0
Flood,Japan,2019,10,10.0
Flood,India,2019,6,52.0
Flood,Spain,2019,9,7.0
Storm,India,2019,4,50.0
Storm,Japan,2019,10,99.0
Extreme temperature,Spain,2019,6,2.0
Storm,France,2019,8,0.0
Extreme temperature,France,2019,6,567.0
Extreme temperature,France,2019,7,868.0
Flood,France,2019,10,3.0
Storm,India,2019,6,10.0
Storm,India,2019,5,50.0
Extreme temperature,India,2019,6,90.0
Extreme temperature,India,2019,6,22.0
Flood,India,2019,8,32.0
Extreme temperature,Italy,2019,6,3.0
Flood,Italy,2019,5,0.0
Storm,Japan,2019,9,0.0
Storm,Japan,2019,9,0.0
Storm,Japan,2019,10,3.0
Extreme temperature,Japan,2019,7,162.0
Extreme temperature,Japan,2019,7,11.0
Flood,Japan,2019,6,2.0
Flood,United States,2019,2,1.0
Storm,Italy,2019,11,0.0
Storm,Italy,2019,11,0.0
Storm,France,2019,10,1.0
Storm,Italy,2019,11,2.0
Storm,United States,2019,1,10.0
Flood,United States,2019,2,1.0
Flood,Brazil,2019,11,2.0
Flood,Brazil,2019,11,0.0
Flood,China,2019,10,14.0
Flood,France,2019,11,5.0
Storm,United States,2019,4,8.0
Storm,United States,2019,5,3.0
Storm,United States,2019,12,18.0
Flood,United States,2019,3,5.0
Storm,United States,2019,1,22.0
Storm,United States,2019,11,10.0
Storm,United States,2019,4,5.0
Storm,United States,2019,9,5.0
Storm,France,2019,11,5.0
Storm,France,2019,12,2.0
Storm,United States,2019,1,13.0
Storm,United States,2019,3,28.0
Storm,United States,2019,10,4.0
Earthquake,United States,2019,7,0.0
Storm,United States,2019,7,1.0
Storm,United States,2019,9,9.0
Wildfire,United States,2019,10,3.0
Wildfire,United States,2019,10,0.0
Flood,United States,2019,6,3.0
Storm,Spain,2019,10,1.0
Storm,Spain,2019,12,7.0
Earthquake,France,2019,11,0.0
